in:SolutionNr,in:6_floor,in:12_floor,in:25_floor,in:concrete,in:grass,in:sand,in:water,out:no_voids,out:NE,out:NW,out:SW,out:SE,out:Δ_temp,out:sunlight,out:sky_exposure,out: linked,img
131,0.7,0.5,0.6,0.6,0.6,0.5,0.7,26,6,7,7,6,8.1,8.0,1.8,60,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00131.webp
132,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00132.webp
133,0.4,0.7,0.6,0.6,0.4,0.5,0.7,26,6,8,5,7,4.3,6.5,1.8,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00133.webp
134,0.6,0.4,0.6,0.7,0.6,0.5,0.7,51,12,14,12,13,5.9,7.2,2.3,62,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00134.webp
135,0.5,0.4,0.6,0.7,0.6,0.5,0.7,51,10,10,13,18,9.3,9.3,1.7,88,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00135.webp
136,0.5,0.5,0.6,0.7,0.7,0.3,0.6,51,13,16,11,11,7.4,8.2,2.8,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00136.webp
137,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00137.webp
138,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00138.webp
139,0.4,0.5,0.6,0.6,0.4,0.5,0.7,26,6,7,7,6,6.1,6.9,2.4,60,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00139.webp
140,0.4,0.4,0.6,0.7,0.4,0.3,0.7,26,6,8,5,7,6.9,6.9,2.0,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00140.webp
141,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00141.webp
142,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00142.webp
143,0.4,0.5,0.6,0.7,0.4,0.5,0.7,26,7,8,5,6,5.3,6.6,2.7,39,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00143.webp
144,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00144.webp
145,0.6,0.4,0.6,0.7,0.6,0.5,0.7,51,12,14,12,13,5.9,7.2,2.3,62,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00145.webp
146,0.4,0.3,0.6,0.6,0.6,0.2,0.5,51,9,16,16,10,5.3,7.5,2.3,81,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00146.webp
147,0.4,0.5,0.6,0.6,0.4,0.3,0.3,51,12,17,10,12,5.5,7.3,2.8,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00147.webp
148,0.3,0.5,0.6,0.6,0.4,0.5,0.6,26,6,8,6,6,4.8,6.8,2.0,16,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00148.webp
149,0.4,0.5,0.6,0.7,0.4,0.3,0.6,51,13,11,13,14,5.7,7.3,2.8,72,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00149.webp
150,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00150.webp
151,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00151.webp
152,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00152.webp
153,0.4,0.5,0.6,0.6,0.4,0.3,0.3,26,6,9,5,6,5.0,6.9,2.5,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00153.webp
154,0.4,0.5,0.6,0.7,0.4,0.5,0.7,26,7,8,5,6,5.3,6.6,2.7,39,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00154.webp
155,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00155.webp
156,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00156.webp
157,0.6,0.4,0.6,0.7,0.6,0.5,0.7,51,12,14,12,13,5.9,7.2,2.3,62,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00157.webp
158,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00158.webp
159,0.4,0.5,0.6,0.7,0.4,0.5,0.7,26,7,8,5,6,5.3,6.6,2.7,39,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00159.webp
160,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,8,7,5,4.1,6.5,1.9,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00160.webp
161,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00161.webp
162,0.5,0.6,0.6,0.2,0.4,0.4,0.7,26,7,8,5,6,7.6,8.4,2.0,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00162.webp
163,0.7,0.4,0.6,0.7,0.6,0.5,0.7,51,12,14,12,13,6.6,7.6,2.0,62,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00163.webp
164,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.4,6.4,1.9,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00164.webp
165,0.7,0.4,0.6,0.7,0.3,0.5,0.7,51,12,14,12,13,9.4,8.5,1.8,38,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00165.webp
166,0.4,0.5,0.6,0.6,0.4,0.5,0.7,26,6,7,7,6,6.1,6.9,2.4,60,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00166.webp
167,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,5,5,8,8,4.4,6.5,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00167.webp
168,0.3,0.5,0.6,0.6,0.4,0.5,0.6,26,6,8,6,6,4.8,6.8,2.0,16,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00168.webp
169,0.7,0.6,0.5,0.7,0.4,0.3,0.2,26,7,7,7,5,7.9,8.3,1.7,79,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00169.webp
170,0.4,0.3,0.5,0.7,0.3,0.3,0.7,26,7,8,5,6,7.3,7.5,2.1,60,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00170.webp
171,0.4,0.3,0.6,0.7,0.3,0.3,0.6,26,6,8,6,6,6.3,6.7,2.1,16,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00171.webp
172,0.7,0.7,0.6,0.7,0.6,0.5,0.7,26,7,6,6,7,7.1,7.6,1.8,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00172.webp
173,0.5,0.3,0.6,0.7,0.2,0.5,0.3,26,5,7,7,7,5.8,7.3,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00173.webp
174,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,5,5,8,8,4.4,6.5,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00174.webp
175,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00175.webp
176,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00176.webp
177,0.7,0.4,0.6,0.7,0.3,0.5,0.7,51,12,14,12,13,9.4,8.5,1.8,38,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00177.webp
178,0.4,0.5,0.6,0.6,0.3,0.2,0.2,51,12,16,12,11,5.4,7.3,2.6,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00178.webp
179,0.4,0.3,0.6,0.3,0.4,0.5,0.3,26,5,7,7,7,4.6,6.9,1.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00179.webp
180,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,6.2,7.7,1.9,16,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00180.webp
181,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00181.webp
182,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00182.webp
183,0.4,0.3,0.5,0.7,0.3,0.2,0.2,26,6,7,6,7,5.7,7.2,2.2,36,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00183.webp
184,0.4,0.5,0.5,0.7,0.4,0.3,0.6,51,14,11,11,15,5.9,7.4,2.6,73,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00184.webp
185,0.4,0.5,0.6,0.7,0.3,0.3,0.2,51,13,11,13,14,6.5,7.4,2.3,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00185.webp
186,0.4,0.5,0.6,0.6,0.4,0.2,0.2,26,5,7,7,7,3.9,6.3,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00186.webp
187,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,7,7,4.0,6.2,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00187.webp
188,0.4,0.5,0.5,0.3,0.4,0.4,0.4,26,7,7,5,7,6.8,8.0,2.5,73,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00188.webp
189,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,7,7,4.0,6.2,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00189.webp
190,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00190.webp
191,0.4,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,7,7,6.7,7.5,2.2,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00191.webp
192,0.4,0.5,0.6,0.7,0.3,0.3,0.2,51,13,11,13,14,6.5,7.4,2.3,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00192.webp
193,0.4,0.5,0.5,0.3,0.4,0.4,0.4,26,7,7,5,7,6.8,8.0,2.5,73,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00193.webp
194,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,7,5,7,7,4.0,6.3,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00194.webp
195,0.7,0.6,0.4,0.6,0.2,0.2,0.2,26,5,6,7,8,9.5,9.3,1.5,47,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00195.webp
196,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00196.webp
197,0.4,0.3,0.6,0.6,0.2,0.4,0.4,26,6,8,5,7,4.7,6.9,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00197.webp
198,0.4,0.3,0.4,0.3,0.2,0.5,0.6,26,5,9,5,7,5.9,7.3,1.6,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00198.webp
199,0.4,0.3,0.6,0.6,0.4,0.2,0.3,26,7,7,5,7,4.8,7.1,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00199.webp
200,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,7,7,4.0,6.2,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00200.webp
201,0.4,0.5,0.6,0.6,0.4,0.2,0.3,51,12,17,10,12,8.6,8.1,1.8,53,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00201.webp
202,0.4,0.5,0.6,0.7,0.7,0.3,0.7,51,14,10,10,17,4.8,7.2,2.4,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00202.webp
203,0.4,0.5,0.6,0.7,0.4,0.3,0.7,51,11,15,13,12,6.0,7.4,2.7,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00203.webp
204,0.5,0.3,0.6,0.7,0.4,0.3,0.2,26,5,9,6,6,6.1,7.7,2.5,12,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00204.webp
205,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.4,6.4,1.9,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00205.webp
206,0.4,0.5,0.6,0.6,0.4,0.2,0.3,51,12,17,10,12,8.6,8.1,1.8,53,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00206.webp
207,0.4,0.5,0.6,0.7,0.4,0.3,0.3,51,13,15,10,13,5.4,7.4,2.8,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00207.webp
208,0.4,0.4,0.6,0.6,0.7,0.3,0.7,51,13,10,13,15,5.7,7.6,2.4,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00208.webp
209,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00209.webp
210,0.4,0.3,0.5,0.7,0.3,0.3,0.7,26,4,8,8,6,7.6,7.5,2.0,39,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00210.webp
211,0.4,0.3,0.4,0.3,0.2,0.4,0.3,26,4,8,8,6,5.9,7.6,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00211.webp
212,0.7,0.4,0.6,0.4,0.4,0.5,0.7,51,13,16,9,13,8.2,8.5,1.8,49,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00212.webp
213,0.6,0.3,0.6,0.6,0.2,0.5,0.4,51,12,14,9,16,8.7,7.9,2.0,49,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00213.webp
214,0.4,0.3,0.5,0.7,0.3,0.3,0.7,26,4,9,5,8,8.8,7.6,1.9,45,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00214.webp
215,0.4,0.3,0.6,0.6,0.4,0.2,0.3,26,7,7,5,7,4.8,7.1,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00215.webp
216,0.4,0.5,0.6,0.7,0.4,0.3,0.3,26,6,7,6,7,3.8,6.3,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00216.webp
217,0.4,0.3,0.5,0.7,0.3,0.3,0.3,26,5,8,8,5,4.8,7.0,2.3,27,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00217.webp
218,0.7,0.4,0.6,0.4,0.4,0.5,0.7,51,12,14,14,11,8.6,8.5,1.9,38,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00218.webp
219,0.4,0.5,0.6,0.6,0.4,0.4,0.4,51,12,15,10,14,6.8,7.5,2.0,56,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00219.webp
220,0.5,0.3,0.6,0.7,0.4,0.3,0.2,26,5,9,6,6,6.1,7.7,2.5,12,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00220.webp
221,0.5,0.3,0.4,0.7,0.3,0.3,0.4,26,5,7,7,7,6.3,7.8,1.7,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00221.webp
222,0.3,0.3,0.6,0.6,0.2,0.3,0.4,26,6,9,5,6,4.4,6.1,3.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00222.webp
223,0.3,0.6,0.6,0.6,0.4,0.3,0.3,26,5,9,6,6,6.3,7.6,1.9,16,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00223.webp
224,0.7,0.4,0.6,0.4,0.4,0.5,0.7,51,12,14,14,11,8.6,8.5,1.9,38,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00224.webp
225,0.3,0.3,0.6,0.6,0.3,0.3,0.4,51,11,11,11,18,4.7,6.8,2.7,86,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00225.webp
226,0.4,0.3,0.6,0.6,0.2,0.4,0.4,26,6,8,5,7,4.7,6.9,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00226.webp
227,0.3,0.3,0.6,0.6,0.2,0.3,0.4,26,6,9,5,6,4.4,6.1,3.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00227.webp
228,0.5,0.7,0.6,0.4,0.4,0.4,0.4,26,6,6,6,8,8.5,8.8,2.5,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00228.webp
229,0.3,0.3,0.6,0.6,0.4,0.2,0.3,51,12,16,9,14,7.1,7.5,1.9,49,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00229.webp
230,0.4,0.3,0.6,0.6,0.2,0.4,0.4,26,6,8,5,7,4.7,6.9,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00230.webp
231,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.4,6.4,1.9,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00231.webp
232,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,26,31,36,35,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00232.webp
233,0.7,0.6,0.4,0.6,0.2,0.2,0.2,26,5,6,7,8,9.5,9.3,1.5,47,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00233.webp
234,0.4,0.3,0.6,0.7,0.2,0.4,0.4,51,10,17,10,14,6.3,7.3,2.1,74,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00234.webp
235,0.4,0.5,0.6,0.7,0.4,0.3,0.2,51,10,17,12,12,6.7,7.3,2.6,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00235.webp
236,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00236.webp
237,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00237.webp
238,0.4,0.5,0.6,0.6,0.2,0.2,0.7,51,10,14,12,15,6.0,7.3,2.8,71,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00238.webp
239,0.5,0.3,0.6,0.6,0.4,0.3,0.2,51,12,12,12,15,8.2,8.4,2.2,66,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00239.webp
240,0.4,0.3,0.6,0.3,0.2,0.4,0.3,26,5,8,5,8,4.1,6.6,1.8,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00240.webp
241,0.4,0.4,0.6,0.6,0.4,0.2,0.6,51,11,15,13,12,7.0,7.8,2.3,95,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00241.webp
242,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00242.webp
243,0.3,0.3,0.6,0.3,0.3,0.4,0.4,26,5,9,5,7,4.8,6.0,3.5,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00243.webp
244,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,28,28,28,44,13.0,9.9,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00244.webp
245,0.4,0.3,0.6,0.3,0.2,0.5,0.3,26,6,9,5,6,4.7,6.9,1.8,18,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00245.webp
246,0.7,0.6,0.4,0.6,0.2,0.2,0.2,26,5,6,7,8,9.5,9.3,1.5,47,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00246.webp
247,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00247.webp
248,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00248.webp
249,0.7,0.6,0.6,0.6,0.4,0.2,0.2,26,7,5,7,7,7.0,7.9,2.5,36,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00249.webp
250,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,7,8,5,6,3.5,6.3,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00250.webp
251,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,28,28,28,44,13.0,9.9,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00251.webp
252,0.4,0.3,0.6,0.6,0.2,0.3,0.3,26,6,8,6,6,4.6,6.8,1.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00252.webp
253,0.4,0.5,0.6,0.6,0.2,0.2,0.7,51,10,14,12,15,6.0,7.3,2.8,71,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00253.webp
254,0.4,0.3,0.6,0.6,0.2,0.4,0.4,26,6,8,5,7,4.7,6.9,1.6,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00254.webp
255,0.3,0.3,0.6,0.3,0.3,0.2,0.3,51,9,16,13,13,4.4,6.7,3.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00255.webp
256,0.3,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,6,8,5.1,7.3,2.3,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00256.webp
257,0.4,0.3,0.6,0.3,0.2,0.5,0.3,26,6,9,5,6,4.7,6.9,1.8,18,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00257.webp
258,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00258.webp
259,0.3,0.6,0.6,0.6,0.4,0.2,0.3,26,5,5,7,9,4.7,6.7,1.9,33,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00259.webp
260,0.3,0.3,0.6,0.6,0.2,0.5,0.2,26,5,8,8,5,6.1,7.2,1.7,90,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00260.webp
261,0.4,0.3,0.6,0.7,0.4,0.2,0.2,51,10,13,13,15,5.7,8.1,2.5,83,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00261.webp
262,0.4,0.5,0.6,0.6,0.4,0.2,0.3,26,6,9,5,6,3.4,6.4,1.9,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00262.webp
